item_id,group,kind,lang,n_tokens
ZH01,ZH,fact,hu,37
ZH01,ZH,fact,en,25
ZH01,ZH,fact,zh,18
ZH02,ZH,fact,hu,38
ZH02,ZH,fact,en,26
ZH02,ZH,fact,zh,16
ZH03,ZH,fact,hu,45
ZH03,ZH,fact,en,30
ZH03,ZH,fact,zh,23
ZH04,ZH,fact,hu,27
ZH04,ZH,fact,en,19
ZH04,ZH,fact,zh,13
ZH05,ZH,fact,hu,39
ZH05,ZH,fact,en,27
ZH05,ZH,fact,zh,18
ZH06,ZH,fact,hu,37
ZH06,ZH,fact,en,25
ZH06,ZH,fact,zh,16
ZH07,ZH,fact,hu,35
ZH07,ZH,fact,en,25
ZH07,ZH,fact,zh,19
ZH08,ZH,fact,hu,32
ZH08,ZH,fact,en,23
ZH08,ZH,fact,zh,15
ZH09,ZH,fact,hu,36
ZH09,ZH,fact,en,26
ZH09,ZH,fact,zh,17
ZH10,ZH,fact,hu,38
ZH10,ZH,fact,en,25
ZH10,ZH,fact,zh,14
ZH11,ZH,fact,hu,37
ZH11,ZH,fact,en,26
ZH11,ZH,fact,zh,15
ZH12,ZH,fact,hu,41
ZH12,ZH,fact,en,28
ZH12,ZH,fact,zh,16
ZH13,ZH,fact,hu,43
ZH13,ZH,fact,en,32
ZH13,ZH,fact,zh,19
ZH14,ZH,fact,hu,37
ZH14,ZH,fact,en,22
ZH14,ZH,fact,zh,15
ZH15,ZH,fact,hu,41
ZH15,ZH,fact,en,26
ZH15,ZH,fact,zh,16
ZH16,ZH,fact,hu,37
ZH16,ZH,fact,en,26
ZH16,ZH,fact,zh,14
ZH17,ZH,fact,hu,48
ZH17,ZH,fact,en,33
ZH17,ZH,fact,zh,19
ZH18,ZH,fact,hu,34
ZH18,ZH,fact,en,23
ZH18,ZH,fact,zh,13
ZH19,ZH,fact,hu,38
ZH19,ZH,fact,en,27
ZH19,ZH,fact,zh,16
HU01,HU,fact,hu,32
HU01,HU,fact,en,22
HU01,HU,fact,zh,23
HU02,HU,fact,hu,25
HU02,HU,fact,en,20
HU02,HU,fact,zh,17
HU03,HU,fact,hu,36
HU03,HU,fact,en,32
HU03,HU,fact,zh,25
HU04,HU,fact,hu,32
HU04,HU,fact,en,26
HU04,HU,fact,zh,19
HU05,HU,fact,hu,53
HU05,HU,fact,en,31
HU05,HU,fact,zh,25
HU06,HU,fact,hu,27
HU06,HU,fact,en,20
HU06,HU,fact,zh,18
HU07,HU,fact,hu,22
HU07,HU,fact,en,21
HU07,HU,fact,zh,16
HU08,HU,fact,hu,23
HU08,HU,fact,en,25
HU08,HU,fact,zh,23
HU09,HU,fact,hu,31
HU09,HU,fact,en,24
HU09,HU,fact,zh,21
HU10,HU,fact,hu,26
HU10,HU,fact,en,21
HU10,HU,fact,zh,20
HU11,HU,fact,hu,31
HU11,HU,fact,en,26
HU11,HU,fact,zh,22
HU12,HU,fact,hu,27
HU12,HU,fact,en,24
HU12,HU,fact,zh,23
HU13,HU,fact,hu,31
HU13,HU,fact,en,23
HU13,HU,fact,zh,24
HU14,HU,fact,hu,25
HU14,HU,fact,en,20
HU14,HU,fact,zh,18
HU15,HU,fact,hu,25
HU15,HU,fact,en,18
HU15,HU,fact,zh,14
UNI01,UNI,fact,hu,30
UNI01,UNI,fact,en,14
UNI01,UNI,fact,zh,13
UNI02,UNI,fact,hu,24
UNI02,UNI,fact,en,15
UNI02,UNI,fact,zh,13
UNI03,UNI,fact,hu,27
UNI03,UNI,fact,en,18
UNI03,UNI,fact,zh,14
UNI04,UNI,fact,hu,25
UNI04,UNI,fact,en,12
UNI04,UNI,fact,zh,10
UNI05,UNI,fact,hu,26
UNI05,UNI,fact,en,12
UNI05,UNI,fact,zh,10
UNI06,UNI,fact,hu,31
UNI06,UNI,fact,en,15
UNI06,UNI,fact,zh,12
UNI07,UNI,fact,hu,26
UNI07,UNI,fact,en,18
UNI07,UNI,fact,zh,14
UNI08,UNI,fact,hu,28
UNI08,UNI,fact,en,15
UNI08,UNI,fact,zh,20
UNI09,UNI,fact,hu,21
UNI09,UNI,fact,en,13
UNI09,UNI,fact,zh,14
UNI10,UNI,fact,hu,20
UNI10,UNI,fact,en,12
UNI10,UNI,fact,zh,15
UNI11,UNI,fact,hu,27
UNI11,UNI,fact,en,15
UNI11,UNI,fact,zh,11
UNI12,UNI,fact,hu,27
UNI12,UNI,fact,en,17
UNI12,UNI,fact,zh,14
UNI13,UNI,fact,hu,25
UNI13,UNI,fact,en,17
UNI13,UNI,fact,zh,16
UNI14,UNI,fact,hu,27
UNI14,UNI,fact,en,19
UNI14,UNI,fact,zh,13
UNI15,UNI,fact,hu,32
UNI15,UNI,fact,en,16
UNI15,UNI,fact,zh,15
UNI16,UNI,fact,hu,21
UNI16,UNI,fact,en,14
UNI16,UNI,fact,zh,11
UNI17,UNI,fact,hu,24
UNI17,UNI,fact,en,16
UNI17,UNI,fact,zh,12
UNI18,UNI,fact,hu,28
UNI18,UNI,fact,en,15
UNI18,UNI,fact,zh,13
UNI19,UNI,fact,hu,24
UNI19,UNI,fact,en,15
UNI19,UNI,fact,zh,13
UNI20,UNI,fact,hu,28
UNI20,UNI,fact,en,19
UNI20,UNI,fact,zh,12
UNT-HU01,UNT,unt,hu,21
UNT-HU01-ctrl,UNT,ctrl,hu,20
UNT-HU01,UNT,unt,en,17
UNT-HU01-ctrl,UNT,ctrl,en,14
UNT-HU01,UNT,unt,zh,15
UNT-HU01-ctrl,UNT,ctrl,zh,10
UNT-HU02,UNT,unt,hu,32
UNT-HU02-ctrl,UNT,ctrl,hu,20
UNT-HU02,UNT,unt,en,23
UNT-HU02-ctrl,UNT,ctrl,en,15
UNT-HU02,UNT,unt,zh,21
UNT-HU02-ctrl,UNT,ctrl,zh,10
UNT-HU03,UNT,unt,hu,28
UNT-HU03-ctrl,UNT,ctrl,hu,21
UNT-HU03,UNT,unt,en,22
UNT-HU03-ctrl,UNT,ctrl,en,15
UNT-HU03,UNT,unt,zh,21
UNT-HU03-ctrl,UNT,ctrl,zh,10
UNT-HU04,UNT,unt,hu,28
UNT-HU04-ctrl,UNT,ctrl,hu,20
UNT-HU04,UNT,unt,en,21
UNT-HU04-ctrl,UNT,ctrl,en,15
UNT-HU04,UNT,unt,zh,18
UNT-HU04-ctrl,UNT,ctrl,zh,10
UNT-HU05,UNT,unt,hu,22
UNT-HU05-ctrl,UNT,ctrl,hu,19
UNT-HU05,UNT,unt,en,18
UNT-HU05-ctrl,UNT,ctrl,en,14
UNT-HU05,UNT,unt,zh,16
UNT-HU05-ctrl,UNT,ctrl,zh,10
UNT-HU06,UNT,unt,hu,21
UNT-HU06-ctrl,UNT,ctrl,hu,21
UNT-HU06,UNT,unt,en,15
UNT-HU06-ctrl,UNT,ctrl,en,15
UNT-HU06,UNT,unt,zh,15
UNT-HU06-ctrl,UNT,ctrl,zh,10
UNT-HU07,UNT,unt,hu,29
UNT-HU07-ctrl,UNT,ctrl,hu,21
UNT-HU07,UNT,unt,en,21
UNT-HU07-ctrl,UNT,ctrl,en,14
UNT-HU07,UNT,unt,zh,20
UNT-HU07-ctrl,UNT,ctrl,zh,10
UNT-HU08,UNT,unt,hu,26
UNT-HU08-ctrl,UNT,ctrl,hu,19
UNT-HU08,UNT,unt,en,22
UNT-HU08-ctrl,UNT,ctrl,en,15
UNT-HU08,UNT,unt,zh,16
UNT-HU08-ctrl,UNT,ctrl,zh,11
UNT-ZH01,UNT,unt,hu,25
UNT-ZH01-ctrl,UNT,ctrl,hu,19
UNT-ZH01,UNT,unt,en,19
UNT-ZH01-ctrl,UNT,ctrl,en,14
UNT-ZH01,UNT,unt,zh,13
UNT-ZH01-ctrl,UNT,ctrl,zh,10
UNT-ZH02,UNT,unt,hu,26
UNT-ZH02-ctrl,UNT,ctrl,hu,20
UNT-ZH02,UNT,unt,en,20
UNT-ZH02-ctrl,UNT,ctrl,en,16
UNT-ZH02,UNT,unt,zh,13
UNT-ZH02-ctrl,UNT,ctrl,zh,10
UNT-ZH03,UNT,unt,hu,26
UNT-ZH03-ctrl,UNT,ctrl,hu,20
UNT-ZH03,UNT,unt,en,20
UNT-ZH03-ctrl,UNT,ctrl,en,14
UNT-ZH03,UNT,unt,zh,13
UNT-ZH03-ctrl,UNT,ctrl,zh,10
UNT-ZH04,UNT,unt,hu,24
UNT-ZH04-ctrl,UNT,ctrl,hu,19
UNT-ZH04,UNT,unt,en,19
UNT-ZH04-ctrl,UNT,ctrl,en,14
UNT-ZH04,UNT,unt,zh,13
UNT-ZH04-ctrl,UNT,ctrl,zh,10
UNT-ZH05,UNT,unt,hu,25
UNT-ZH05-ctrl,UNT,ctrl,hu,19
UNT-ZH05,UNT,unt,en,19
UNT-ZH05-ctrl,UNT,ctrl,en,14
UNT-ZH05,UNT,unt,zh,13
UNT-ZH05-ctrl,UNT,ctrl,zh,10
UNT-ZH06,UNT,unt,hu,27
UNT-ZH06-ctrl,UNT,ctrl,hu,19
UNT-ZH06,UNT,unt,en,20
UNT-ZH06-ctrl,UNT,ctrl,en,15
UNT-ZH06,UNT,unt,zh,13
UNT-ZH06-ctrl,UNT,ctrl,zh,10
UNT-ZH07,UNT,unt,hu,27
UNT-ZH07-ctrl,UNT,ctrl,hu,21
UNT-ZH07,UNT,unt,en,21
UNT-ZH07-ctrl,UNT,ctrl,en,17
UNT-ZH07,UNT,unt,zh,13
UNT-ZH07-ctrl,UNT,ctrl,zh,10
UNT-ZH08,UNT,unt,hu,29
UNT-ZH08-ctrl,UNT,ctrl,hu,21
UNT-ZH08,UNT,unt,en,25
UNT-ZH08-ctrl,UNT,ctrl,en,15
UNT-ZH08,UNT,unt,zh,15
UNT-ZH08-ctrl,UNT,ctrl,zh,10
