könyvtár                   rek végs tool egyéb | MIND: poz  obsHan  Σp_feld | KIHAGYOTT(tool) poz obsHan Σp | normhiba
A050-t0.6                    9    5    4     0 |    11150     0           — |     3649     0           — | —
A050-t0.8                    9    4    5     0 |    10574     0           — |     3023     0           — | —
A050-t1.0                    9    4    5     0 |    12122     0           — |     4831     0           — | —
A200-t0.6                   15    6    8     0 |    16924     1           — |     5718     0           — | —
A200-t0.8                   15    6    9     0 |    18229     7           — |     6602     2           — | —
A200-t1.0                   15    8    8     0 |    17322     2           — |     4210     1           — | —
A200F-t0.6                   9    5    4     0 |     9692     1           — |     2027     0           — | —
A200F-t0.8                   9    4    5     0 |    11086     5           — |     2763     1           — | —
A200F-t1.0                   9    5    4     0 |    13056     3           — |     2950     2           — | —
F3-K0-fd-alap03             15    7    8     0 |    16702     6    304.61/M |     4612     0      0.00/M | 1.15e-07
F3-K0-fd-alap06             15    5   10     0 |    16326     0     34.27/M |     5513     0      2.28/M | 1.65e-07
F3-K0-fd-csapda06          450  447    0     3 |   412001     2      1.48/M |    12288     0      0.00/M | 2.03e-07
F3-K0-fd-ujra09             15    6    7     0 |    18260     6    274.01/M |     6813     2    314.32/M | 0.0848
F3-K0-p1-alap03             15    8    7     0 |    16873     0           — |     4672     0           — | —
F3-K0-p1-alap06-par          9    4    5     0 |    12903     0           — |     3306     0           — | —
F3-K0-p1-alap06             15    6    9     0 |    17998    65           — |     5006     0           — | —
F3-K0-p1-csapda06          450  450    0     1 |   420928     7           — |        0     0           — | —
F3-K0-p1-ujra09             15    4    9     0 |    85317  6593           — |    77893  6593           — | —
F3-S07-fd-alap03            15    6    9     0 |    19192     0      0.00/M |     5574     0      0.00/M | 1.33e-07
F3-S07-fd-alap06            15    8    7     0 |    17636     0      0.00/M |     4472     0      0.00/M | 2.02e-07
F3-S07-fd-csapda06         450  449    0     1 |   421427     0      0.00/M |     4096     0      0.00/M | 2.16e-07
F3-S07-fd-ujra09            15    5    9     0 |    19472     0      0.17/M |     7153     0      0.00/M | 0.0477
F3-S07-p1-alap03            15    8    7     0 |    16873     0           — |     4672     0           — | —
F3-S07-p1-alap06-par         9    4    5     0 |    11203     0           — |     3357     0           — | —
F3-S07-p1-alap06            15    6    9     0 |    17997     0           — |     5006     0           — | —
F3-S07-p1-csapda06         450  448    0     2 |   432674     0           — |     8192     0           — | —
F3-S07-p1-ujra09            15    4    9     1 |   114743     0           — |   107319     0           — | —
F3-S07-p2-alap03            15    8    7     0 |    16873     0           — |     4672     0           — | —
F3-S07-p2-alap06-par         9    4    5     0 |    10083     0           — |     3011     0           — | —
F3-S07-p2-alap06            15    6    9     0 |    17997     0           — |     5006     0           — | —
F3-S07-p2-ujra09            15    4    9     1 |   114743     0           — |   107319     0           — | —
F3-S07-p3-alap03            15    8    7     0 |    16873     0           — |     4672     0           — | —
F3-S07-p3-alap06-par         9    4    5     0 |     9604     0           — |     3445     0           — | —
F3-S07-p3-alap06            15    6    9     0 |    17997     0           — |     5006     0           — | —
F3-S07-p3-ujra09            15    4    9     1 |   114743     0           — |   107319     0           — | —
K0-t0.6                     15    7    8     0 |    17041     0           — |     4560     0           — | —
K0-t0.8                     15    9    6     0 |    18096     1           — |     4744     0           — | —
K0-t1.0                     15    8    7     0 |    19559     9           — |     4264     0           — | —
S01-t0.6                     9    3    6     0 |     7457     0           — |     3794     0           — | —
S01-t0.8                     9    2    7     0 |     8473     0           — |     4530     0           — | —
S01-t1.0                     9    3    6     0 |    10985     0           — |     5145     0           — | —
S03-t0.6                     9    5    4     0 |    10161     0           — |     2027     0           — | —
S03-t0.8                     9    5    4     0 |    12222     0           — |     4472     0           — | —
S03-t1.0                     9    3    6     0 |    10823     0           — |     5275     0           — | —
S05-t0.6                    15    7    8     0 |    17041     0           — |     4560     0           — | —
S05-t0.8                    15    9    6     0 |    18937     0           — |     4744     0           — | —
S05-t1.0                    15    6    8     1 |    80114     0           — |    70407     0           — | —
S05F-t0.6                    9    3    6     0 |     7457     0           — |     3794     0           — | —
S05F-t0.8                    9    2    7     0 |     8473     0           — |     4530     0           — | —
S05F-t1.0                    9    3    6     0 |    10985     0           — |     5145     0           — | —
S06-t0.6                    15    6    9     0 |    15714     0           — |     5172     0           — | —
S06-t0.8                    15    7    8     0 |    17009     0           — |     5023     0           — | —
S06-t1.0                    15    6    9     0 |    17077     0           — |     6711     0           — | —
S07-t0.6                     9    5    4     0 |    10161     0           — |     2027     0           — | —
S07-t0.8                     9    5    4     0 |    12222     0           — |     4472     0           — | —
S07-t1.0                     9    3    6     0 |    10823     0           — |     5275     0           — | —
S08-t0.6                    15    6    9     0 |    15714     0           — |     5172     0           — | —
S08-t0.8                    15    7    8     0 |    17009     0           — |     5023     0           — | —
S08-t1.0                    15    6    9     0 |    17077     0           — |     6711     0           — | —
S09-t0.6                    15    7    8     0 |    17041     0           — |     4560     0           — | —
S09-t0.8                    15    9    6     0 |    18937     0           — |     4744     0           — | —
S09-t1.0                    15    6    9     0 |    19143     2           — |     6452     2           — | —
